tick,prey,energy
1,30,69.85
2,30,69.7
3,30,69.55
4,30,69.9
5,30,70.25
6,30,70.6
7,30,70.45
8,30,70.3
9,30,72.15
10,30,72.5
11,30,72.35
12,30,73.2
13,30,74.05
14,30,74.9
15,30,76.25
16,30,76.1
17,30,76.95
18,30,77.3
19,30,78.15
20,30,78.5
21,30,78.85
22,30,78.81
23,30,79.16
24,30,79.51
25,30,79.985
26,30,80.335
27,30,80.685
28,30,81.175
29,30,81.67
30,30,82.06
31,30,82.065
32,30,82.075
33,30,82.425
34,30,82.445
35,30,82.295
36,30,82.145
37,30,81.995
38,30,82.845
39,30,82.695
40,30,83.045
41,30,83.395
42,30,83.815
43,30,83.665
44,30,83.515
45,30,84.09
46,30,84.44
47,30,84.635
48,30,84.985
49,30,85.58
50,30,85.43
51,30,85.28
52,30,85.89
53,30,85.74
54,30,85.625
55,30,85.975
56,30,85.825
57,30,85.675
58,30,86.95
59,30,86.8
60,30,86.65
61,30,86.5
62,30,87.16
63,30,87.115
64,30,86.965
65,30,86.87
66,30,86.72
67,30,86.905
68,30,86.755
69,30,86.605
70,30,86.56
71,30,86.54
72,30,86.435
73,30,86.285
74,30,86.15
75,30,86.58
76,30,86.52
77,30,86.37
78,29,86.2827586207
79,29,86.1327586207
80,29,85.9827586207
81,29,85.8327586207
82,29,85.724137931
83,29,85.7603448276
84,29,85.6103448276
85,29,85.9
86,29,85.8017241379
87,29,85.6517241379
88,29,85.5948275862
89,29,85.9931034483
90,29,85.8431034483
91,29,85.6931034483
92,29,85.5431034483
93,29,85.6310344828
94,29,85.8017241379
95,29,86.1689655172
96,29,86.0189655172
97,29,85.8689655172
98,29,85.7189655172
99,29,85.5689655172
100,29,85.6413793103
101,29,86.1586206897
102,29,86.0086206897
103,29,85.8586206897
104,29,85.7086206897
105,29,85.5586206897
106,29,85.4086206897
107,29,85.3827586207
108,29,85.75
109,29,85.6
110,29,85.45
111,29,85.4137931034
112,29,86.3086206897
113,29,86.1586206897
114,29,86.0086206897
115,29,85.8586206897
116,29,85.8224137931
117,29,85.7551724138
118,29,85.6051724138
119,29,85.4551724138
120,29,85.5120689655
121,29,85.6879310345
122,29,85.5482758621
123,29,85.3982758621
124,29,86.0086206897
125,29,86.375862069
126,29,86.225862069
127,29,86.1586206897
128,29,86.0086206897
129,29,85.8586206897
130,29,86.225862069
131,29,86.075862069
132,29,86.1275862069
133,29,85.9775862069
134,29,85.8275862069
135,29,85.6775862069
136,29,85.5275862069
137,29,85.8948275862
138,29,85.7448275862
139,29,85.7137931034
140,29,85.5637931034
141,29,85.4137931034
142,29,85.2637931034
143,29,85.6310344828
144,29,85.7086206897
145,29,85.8068965517
146,29,85.6568965517
147,29,85.5068965517
148,29,85.3568965517
149,29,85.4086206897
150,29,85.2586206897
151,29,85.2482758621
152,29,85.0982758621
153,29,85.0568965517
154,29,84.9068965517
155,29,84.7568965517
156,29,84.6327586207
157,29,84.5448275862
158,29,84.3948275862
159,29,84.2448275862
160,29,84.0948275862
161,29,83.9448275862
162,29,83.7948275862
163,29,83.6448275862
164,29,84.0120689655
165,29,83.8620689655
166,29,83.7120689655
167,29,83.5620689655
168,29,83.4120689655
169,29,83.2620689655
170,29,83.1120689655
171,29,82.9620689655
172,28,84.1910714286
173,28,84.6839285714
174,27,86.0388888889
175,27,85.8888888889
176,27,85.7388888889
177,27,85.5888888889
178,27,85.4388888889
179,27,85.4555555556
180,27,85.3055555556
181,27,85.1555555556
182,27,85.0055555556
183,27,84.8555555556
184,27,84.7055555556
185,27,84.5555555556
186,27,84.4055555556
187,27,84.2555555556
188,27,84.3777777778
189,27,84.2277777778
190,27,84.7277777778
191,27,85.1
192,27,84.95
193,27,84.8
194,27,84.65
195,27,84.5222222222
196,27,84.3722222222
197,27,84.2222222222
198,27,84.0722222222
199,27,83.9222222222
200,27,83.7722222222
201,27,83.6222222222
202,27,83.6
203,27,83.5222222222
204,27,83.3722222222
205,27,83.2222222222
206,27,83.4333333333
207,27,83.9333333333
208,27,83.7833333333
209,27,84.1888888889
210,27,84.0777777778
211,27,83.9277777778
212,27,84.3666666667
213,27,84.2166666667
214,27,84.0666666667
215,27,83.9166666667
216,27,84.1388888889
217,27,83.9888888889
218,27,83.8388888889
219,27,83.7611111111
220,27,83.6111111111
221,27,83.6388888889
222,27,83.4888888889
223,27,83.3388888889
224,27,84.1833333333
225,27,84.0333333333
226,27,84.0944444444
227,26,84.8557692308
228,26,84.7057692308
229,26,85.1903846154
230,26,85.0403846154
231,25,85.072
232,25,84.922
233,25,84.772
234,25,84.7
235,25,84.55
236,25,84.4
237,25,84.25
238,25,84.1
239,25,84.058
240,25,83.908
241,25,83.8
242,25,83.65
243,25,83.5
244,25,83.572
245,25,83.422
246,25,83.284
247,25,83.134
248,25,83.026
249,25,82.876
250,25,82.87
251,25,82.72
252,25,82.57
253,25,82.492
254,25,82.966
255,25,82.816
256,25,82.666
257,25,82.624
258,25,82.474
259,25,82.324
260,25,82.774
261,25,82.624
262,25,82.474
263,25,82.324
264,25,82.348
265,25,82.198
266,25,82.66
267,25,83.08
268,25,82.93
269,25,83.38
270,25,83.266
271,25,83.674
272,25,83.524
273,25,83.374
274,25,83.344
275,25,83.194
276,25,83.644
277,25,83.494
278,25,83.344
279,25,83.296
280,25,83.146
281,25,82.996
282,25,82.846
283,25,83.392
284,25,83.242
285,25,83.092
286,25,82.942
287,25,82.792
288,25,82.642
289,25,82.492
290,25,82.342
291,25,82.24
292,25,82.09
293,24,82.06875
294,24,81.91875
295,24,81.76875
296,24,82.35625
297,24,82.31875
298,24,82.16875
299,24,82.01875
300,24,81.86875
301,24,82.34375
302,24,82.19375
303,24,82.26875
304,24,82.11875
305,24,82.1875
306,24,82.0375
307,24,81.8875
308,24,81.7375
309,24,82.1625
310,24,82.0125
311,24,81.8625
312,24,81.7125
313,23,82.0717391304
314,23,82.0391304348
315,23,81.8891304348
316,23,82.4630434783
317,23,82.3130434783
318,23,82.8152173913
319,23,82.6652173913
320,23,82.5152173913
321,23,82.7239130435
322,23,82.5739130435
323,23,82.4239130435
324,23,82.2739130435
325,23,82.1239130435
326,23,81.9739130435
327,23,81.8239130435
328,23,81.9152173913
329,23,81.7652173913
330,23,82.3326086957
331,23,82.4108695652
332,23,82.2608695652
333,23,82.1108695652
334,23,81.9608695652
335,23,82.1173913043
336,23,81.9673913043
337,23,82.2608695652
338,23,82.1108695652
339,23,81.9739130435
340,23,81.9804347826
341,23,81.8304347826
342,23,81.7586956522
