tick,prey,energy
1,50,69.85
2,50,69.7
3,50,69.55
4,50,69.4
5,50,69.25
6,50,69.4
7,50,69.25
8,50,69.1
9,50,69.25
10,50,69.1
11,50,69.25
12,50,69.7
13,50,70.75
14,50,70.6
15,50,70.75
16,50,70.6
17,50,70.45
18,50,70.3
19,50,70.45
20,50,70.6
21,50,70.75
22,50,71.2
23,50,71.05
24,50,71.2
25,50,71.05
26,50,70.9
27,50,70.75
28,50,70.6
29,50,70.45
30,50,70.3
31,50,70.15
32,50,70.0
33,51,69.85
34,51,69.7
35,51,69.55
36,51,69.9882352941
37,51,69.8382352941
38,51,69.6882352941
39,51,69.5382352941
40,51,69.9764705882
41,51,70.4147058824
42,51,70.2647058824
43,51,70.1147058824
44,51,69.9647058824
45,51,69.8147058824
46,51,70.2529411765
47,51,70.5352941176
48,51,70.6794117647
49,51,70.5294117647
50,51,70.3794117647
51,51,70.2294117647
52,51,70.0794117647
53,51,69.9294117647
54,51,70.0735294118
55,51,70.5117647059
56,51,70.3617647059
57,52,70.2048076923
58,52,70.3432692308
59,52,70.4817307692
60,52,70.3317307692
61,52,70.1817307692
62,52,70.6086538462
63,52,70.7471153846
64,52,70.8855769231
65,52,71.0240384615
66,52,70.8740384615
67,52,71.0125
68,52,70.8625
69,52,71.0009615385
70,52,70.8509615385
71,52,70.9057692308
72,52,70.7557692308
73,53,70.8745283019
74,53,71.0075471698
75,53,70.8575471698
76,53,70.7075471698
77,53,70.8405660377
78,53,70.9113207547
79,53,70.7613207547
80,53,70.6113207547
81,53,70.4613207547
82,53,70.3113207547
83,54,70.1555555556
84,54,70.2833333333
85,54,70.3694444444
86,54,70.4972222222
87,54,70.3472222222
88,55,70.1909090909
89,55,70.0409090909
90,55,70.4090909091
91,55,70.2590909091
92,55,70.1090909091
93,55,70.2318181818
94,55,70.0818181818
95,55,69.9318181818
96,55,70.0545454545
97,55,70.0163636364
98,55,70.1390909091
99,55,69.9890909091
100,55,69.8390909091
101,55,69.6890909091
102,55,69.5390909091
103,55,69.6618181818
104,55,69.5118181818
105,55,69.3618181818
106,55,69.2118181818
107,55,69.1081818182
108,55,68.9581818182
109,55,68.8081818182
110,55,68.6581818182
111,55,68.5081818182
112,56,68.6526785714
113,56,68.7705357143
114,56,68.6205357143
115,56,68.7383928571
116,56,69.1241071429
117,56,69.0276785714
118,56,68.8776785714
119,56,68.9955357143
120,56,68.8455357143
121,56,68.6955357143
122,56,68.8133928571
123,56,68.6633928571
124,55,68.3854545455
125,55,68.2354545455
126,55,68.0854545455
127,55,67.9354545455
128,55,67.7854545455
129,55,67.6354545455
130,55,67.7118181818
131,55,67.5618181818
132,55,67.6845454545
133,55,67.5345454545
134,55,67.3845454545
135,55,67.2345454545
136,55,67.0845454545
137,55,66.9345454545
138,55,66.7845454545
139,55,66.9918181818
140,55,66.8418181818
141,55,67.2372727273
142,55,67.36
143,55,67.7554545455
144,55,67.6054545455
145,55,67.4554545455
146,55,67.3054545455
147,55,67.7009090909
148,55,67.5509090909
149,55,67.6736363636
150,56,67.8330357143
151,56,67.6830357143
152,56,67.5330357143
153,56,67.6508928571
154,56,67.5008928571
155,56,67.7660714286
156,57,67.6552631579
157,57,67.5052631579
158,57,67.3552631579
159,57,67.2052631579
160,57,67.0552631579
161,57,66.9052631579
162,57,66.7552631579
163,57,66.6052631579
164,57,66.4552631579
165,57,66.3052631579
166,57,66.6815789474
167,57,66.7947368421
168,57,66.6447368421
169,58,66.8112068966
170,58,66.6612068966
171,58,66.5112068966
172,58,66.3612068966
173,58,66.2112068966
174,58,66.3198275862
175,58,66.1698275862
176,58,66.2784482759
177,58,66.1284482759
178,58,66.1801724138
179,58,66.0301724138
180,58,65.8801724138
181,58,65.7301724138
182,58,65.5801724138
183,58,65.4301724138
184,58,65.2801724138
185,58,65.3318965517
186,58,65.4405172414
187,59,65.3677966102
188,59,65.4415254237
189,59,65.2915254237
190,59,65.3703389831
191,59,65.2203389831
192,59,65.0703389831
193,59,65.1745762712
194,59,65.2788135593
195,59,65.3830508475
196,59,65.2330508475
197,59,65.3372881356
198,59,65.1872881356
199,59,65.0372881356
200,59,64.8872881356
201,59,64.9915254237
202,59,65.0957627119
203,59,64.9457627119
204,59,64.7957627119
