tick,prey,energy
1,50,69.85
2,50,70.0
3,50,70.15
4,50,70.3
5,50,70.15
6,50,70.0
7,50,70.15
8,50,70.0
9,50,70.75
10,50,70.9
11,50,70.75
12,50,70.6
13,50,70.45
14,50,70.6
15,50,71.05
16,50,70.9
17,50,71.35
18,50,71.5
19,50,71.65
20,50,71.8
21,50,71.65
22,49,71.9040816327
23,48,72.175
24,48,72.65
25,48,72.8125
26,48,72.6625
27,48,73.1375
28,48,72.9875
29,48,72.8375
30,48,73.3125
31,48,73.1625
32,48,73.0125
33,48,72.8625
34,49,72.6540816327
35,49,72.5040816327
36,49,72.3540816327
37,49,72.5102040816
38,49,72.6663265306
39,49,73.1285714286
40,49,73.4071428571
41,49,73.5632653061
42,49,73.7193877551
43,49,73.5693877551
44,49,73.7255102041
45,49,73.5755102041
46,49,73.4255102041
47,49,73.2755102041
48,49,73.5785714286
49,50,73.657
50,50,73.807
51,50,73.657
52,50,73.963
53,50,73.813
54,50,73.963
55,50,73.813
56,50,73.963
57,50,73.813
58,50,73.963
59,50,73.813
60,50,73.663
61,50,73.513
62,50,73.363
63,50,73.213
64,50,73.063
65,50,73.108
66,50,73.258
67,50,73.408
68,50,73.558
69,50,73.459
70,50,73.309
71,50,73.759
72,50,73.609
73,50,73.759
74,51,73.5352941176
75,51,73.3852941176
76,51,73.4588235294
77,51,73.6029411765
78,51,73.4529411765
79,51,73.5970588235
80,51,73.4470588235
81,51,73.5911764706
82,51,73.4411764706
83,51,73.5852941176
84,51,73.4352941176
85,51,73.5794117647
86,51,73.4294117647
87,50,73.606
88,50,73.456
89,50,73.573
90,50,73.993
91,50,73.843
92,50,73.993
93,50,74.122
94,50,74.272
95,50,74.857
96,50,74.995
97,50,75.145
98,50,74.995
99,50,75.145
100,50,74.995
101,50,74.845
102,50,74.713
103,50,74.563
104,49,74.2091836735
105,49,74.0591836735
106,49,73.9091836735
107,49,74.0653061224
108,49,74.2214285714
109,49,74.3775510204
110,49,74.2275510204
111,49,74.0775510204
112,49,74.2336734694
113,49,74.2826530612
114,49,74.1326530612
115,49,74.2887755102
116,49,74.1387755102
117,49,73.9887755102
118,49,73.8387755102
119,49,73.6887755102
120,49,73.5387755102
121,49,73.3887755102
122,49,73.6275510204
123,49,73.4775510204
124,49,73.6336734694
125,49,73.4836734694
126,49,73.9459183673
127,49,73.7959183673
128,49,73.6459183673
129,49,73.8020408163
