tick,prey,predator,energy
1,1000,10,0
2,1000,20,0
3,999,40,0
4,997,75,0
5,992,141,0
6,988,265,0
7,975,495,0
8,965,928,0
9,910,1000,0
10,905,1000,0
11,884,1000,0
12,883,1000,0
13,892,1000,0
14,896,1000,0
15,911,998,0
16,914,981,0
17,910,952,0
18,932,913,0
19,924,1000,0
20,931,1000,0
21,905,1000,0
22,899,1000,0
23,873,1000,0
24,903,1000,0
25,901,1000,0
26,888,1000,0
27,907,1000,0
28,907,1000,0
29,912,1000,0
30,912,1000,0
31,927,1000,0
32,906,1000,0
33,911,1000,0
34,897,1000,0
35,893,1000,0
36,892,1000,0
37,912,1000,0
38,922,1000,0
39,908,1000,0
40,882,1000,0
41,909,1000,0
42,924,1000,0
43,912,1000,0
44,915,1000,0
45,911,1000,0
46,902,1000,0
47,908,1000,0
48,885,1000,0
49,883,1000,0
50,904,1000,0
51,908,1000,0
52,911,1000,0
53,925,1000,0
54,896,1000,0
55,922,1000,0
56,917,1000,0
57,900,1000,0
58,889,1000,0
59,890,1000,0
60,897,1000,0
61,900,1000,0
62,886,1000,0
63,899,1000,0
64,888,1000,0
65,917,1000,0
66,916,1000,0
67,921,1000,0
68,895,1000,0
69,892,1000,0
70,903,1000,0
71,891,1000,0
72,888,1000,0
73,912,1000,0
74,886,1000,0
75,902,1000,0
76,908,1000,0
77,911,1000,0
78,904,1000,0
79,912,1000,0
80,905,1000,0
81,919,1000,0
82,892,1000,0
83,899,1000,0
84,892,1000,0
85,911,1000,0
86,888,1000,0
87,913,1000,0
88,904,1000,0
89,893,1000,0
90,912,1000,0
91,889,1000,0
92,891,1000,0
93,896,1000,0
94,898,1000,0
95,902,1000,0
96,913,1000,0
97,908,1000,0
98,906,1000,0
99,906,1000,0
100,913,1000,0
101,919,1000,0
102,923,1000,0
103,901,1000,0
104,898,1000,0
105,889,1000,0
106,902,1000,0
107,897,1000,0
108,915,1000,0
109,917,1000,0
110,912,1000,0
111,903,1000,0
112,889,1000,0
113,904,1000,0
114,904,1000,0
115,904,1000,0
116,907,1000,0
117,911,1000,0
118,901,1000,0
119,908,1000,0
120,914,1000,0
121,900,1000,0
122,904,1000,0
123,903,1000,0
124,917,1000,0
125,904,1000,0
126,909,1000,0
127,914,1000,0
128,909,1000,0
129,895,1000,0
130,912,1000,0
131,902,1000,0
132,909,1000,0
133,904,1000,0
134,895,1000,0
135,908,1000,0
136,902,1000,0
137,898,1000,0
138,904,1000,0
139,893,1000,0
140,920,1000,0
141,899,1000,0
142,900,1000,0
143,892,1000,0
144,892,1000,0
145,919,1000,0
146,888,1000,0
147,910,1000,0
148,921,1000,0
149,898,1000,0
150,909,1000,0
151,890,1000,0
152,905,1000,0
153,909,1000,0
154,898,1000,0
155,906,1000,0
156,900,1000,0
157,907,1000,0
158,911,1000,0
159,907,1000,0
160,893,1000,0
161,899,1000,0
162,913,1000,0
163,903,1000,0
164,910,1000,0
165,899,1000,0
166,894,1000,0
167,915,1000,0
168,899,1000,0
169,913,1000,0
